company_name,position_name,salary,city,work_years,education,advantage,desc,mark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳中悦,java开发工程师,10k-18k,深圳,3-5年,大专,"五险一金,发展空间大扁平化管理,绩效奖金",https://www.lagou.com/jobs/5381839.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
饭点儿,JAVA开发工程师,10k-20k,杭州,1-3年,本科,"领导好,团队氛围好,双休福利多,五险一金",https://www.lagou.com/jobs/4553132.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
实名宝,java开发工程师,5k-10k,廊坊,1-3年,大专,"年轻化,帅哥多,美女多,发展平台好",https://www.lagou.com/jobs/4681919.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kika Tech(新美互通),java工程师,20k-40k,北京,3-5年,本科,"晋升空间,技术大牛",https://www.lagou.com/jobs/5583375.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有赞,Java开发工程师-垂直业务开...,15k-25k,杭州,1-3年,本科,"技术能力强,互联网文化,广阔的上升",https://www.lagou.com/jobs/4993180.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安硕信息（amarsoft）,JAVA【南京】,8k-15k,南京,1-3年,本科,"五险一金,稳定岗位,发展平台",https://www.lagou.com/jobs/2710811.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
点购商城,Java开发工程师,10k-15k,广州,3-5年,大专,"五险一金,餐补,下午茶,双休",https://www.lagou.com/jobs/5819435.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
魔点科技,JAVA开发工程师,15k-25k,杭州,5-10年,本科,"项目奖,年终奖,期权",https://www.lagou.com/jobs/4823038.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
普元,java开发工程师,10k-15k,深圳,3-5年,本科,"朝九晚六,六险一金,周末双休,发展前景好",https://www.lagou.com/jobs/5826870.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博奥特科技,java开发工程师,15k-20k,深圳,3-5年,本科,"五险一金,行业背景优",https://www.lagou.com/jobs/5821919.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘿豆商城,java开发工程师,10k-15k,杭州,1-3年,本科,"免费午餐,团队氛围好,发展空间大",https://www.lagou.com/jobs/5831941.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLPS,java开发工程师,15k-18k,北京,3-5年,大专,"平台好,薪资优越,商业保险",https://www.lagou.com/jobs/5831413.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中舞网,Java开发工程师,12k-15k,南京,1-3年,本科,"Java,后端",https://www.lagou.com/jobs/5304718.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
思杰马克丁,java开发工程师,11k-15k,苏州,3-5年,本科,"五险一金,免费午餐,13薪,节日福利",https://www.lagou.com/jobs/5822421.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCL金融控股集团,JAVA开发工程师,10k-18k,惠州,1-3年,本科,"精英团队,福利待遇好,奖金丰厚",https://www.lagou.com/jobs/5830989.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长江汇,Java开发工程师,8k-12k,南京,3-5年,大专,"团队氛围好,晋升空间大,五险一金",https://www.lagou.com/jobs/4554641.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳市金卫信,Java开发工程师,10k-20k,深圳,3-5年,大专,"医疗行业,福利活动多,年终奖,双休",https://www.lagou.com/jobs/4790660.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
滴滴优点,java,25k-50k,深圳,5-10年,本科,"独角兽,专家团队,发展空间,资本雄厚",https://www.lagou.com/jobs/5830375.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艾融股份,java开发工程师,15k-30k,上海,3-5年,本科,"不加班,升职快,项目好",https://www.lagou.com/jobs/5818834.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安硕信息（amarsoft）,JAVA【广州】,6k-12k,广州,1-3年,本科,"五险一金,定期体检,公司平台大,工作环境好",https://www.lagou.com/jobs/4491820.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
深圳市金卫信,java开发工程师,15k-30k,深圳,3-5年,本科,"互联网医疗,成立20年,周末双休,年终奖",https://www.lagou.com/jobs/5532702.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华资软件,java开发工程师,8k-11k,深圳,1-3年,本科,"开发规范,技术团队强",https://www.lagou.com/jobs/5804832.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蓝卓工业互联网,java开发工程师,8k-15k,宁波,1-3年,本科,"扁平化管理,氛围活跃",https://www.lagou.com/jobs/5829621.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
创立科技,Java开发工程师,6k-10k,成都,1-3年,大专,Java,https://www.lagou.com/jobs/4437274.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
网新恩普,java开发工程师,10k-15k,深圳,3-5年,学历不限,"大公司,架构稳定,不拖欠工资",https://www.lagou.com/jobs/5827191.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
联通云,java开发工程师,20k-30k,北京,3-5年,本科,"央企,高薪酬,高福利",https://www.lagou.com/jobs/5484305.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
同程旅游金融业务,java工程师,15k-28k,上海,5-10年,大专,"领导好,办公环境好,活动丰富",https://www.lagou.com/jobs/5826785.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLPS,java,15k-23k,上海,3-5年,本科,"六险一金,年终奖,带薪年假",https://www.lagou.com/jobs/5828000.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huatek,java开发工程师,6k-10k,西安,1-3年,大专,"带薪年假,五险一金,节日福利,公司旅游",https://www.lagou.com/jobs/5826879.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
达达-京东到家,Java（商城）,18k-30k,上海,3-5年,本科,"有意思的产品,良好的工作氛围",https://www.lagou.com/jobs/5819038.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好大夫在线,java开发工程师,20k-40k,北京,1-3年,本科,国内互联网医疗领域领头羊,https://www.lagou.com/jobs/5655104.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
普元,java开发工程师,15k-20k,上海,3-5年,本科,"朝九晚六,六险一金,周末双休,发展前景好",https://www.lagou.com/jobs/5825863.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卓志,JAVA开发工程师,6k-12k,厦门,1-3年,本科,"JAVA,分布式",https://www.lagou.com/jobs/4997662.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
瑞翼,java开发工程师,12k-20k,苏州,3-5年,本科,"免息借款,租房补贴,学历提升,日常福利",https://www.lagou.com/jobs/5824665.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊智,java开发工程师,10k-17k,广州,3-5年,学历不限,"开放,自由的办公环境",https://www.lagou.com/jobs/5824338.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
橙光游戏,java开发工程师,20k-30k,北京,5-10年,本科,"弹性半小时,管午饭,上升空间大",https://www.lagou.com/jobs/5535625.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有咖互动,Java开发工程师,20k-30k,北京,3-5年,本科,"新浪微博,技术氛围好,扁平化管理",https://www.lagou.com/jobs/5744674.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
上海摩象网络科技有限公司,JAVA开发工程师,20k-30k,北京,5-10年,大专,"氛围好,创业公司,领导Nice",https://www.lagou.com/jobs/5292695.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
创展科技,java工程师,15k-20k,深圳,3-5年,本科,薪酬福利好,https://www.lagou.com/jobs/5408344.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
北信工,java开发工程师,10k-15k,北京,3-5年,本科,福利待遇好,https://www.lagou.com/jobs/5502153.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美电贝尔,JAVA开发工程师,7k-14k,广州,3-5年,大专,"上市公司,军工企业,员工旅游,定期体检",https://www.lagou.com/jobs/4776048.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
网易,java开发工程师,15k-25k,杭州,3-5年,本科,"福利待遇好,部门发展前景好,行业大牛",https://www.lagou.com/jobs/5782510.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
当当网,java研发工程师,18k-30k,北京,3-5年,学历不限,"电商核心项目,大平台,上市公司",https://www.lagou.com/jobs/5569973.html,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
