company_name,position_name,salary,city,work_years,education,advantage,desc,mark
卡荟科技,HTML5,10k-20k,深圳,1-3年,本科,"节日福利,电子设备,带薪年假,零食下午茶,员工旅游,五险一金",https://www.zhipin.com/job_detail/374bc8e1f9d35f6c1nJ82Nm8FFs~.html,3
天恒众航,HTML5,8k-12k,北京,1-3年,本科,,https://www.zhipin.com/job_detail/ac67954d19fcb92e03193tW5FA~~.html,3
武汉企秀,HTML5,10k-15k,武汉,1-3年,学历不限,"移动互联网,公司氛围好,五险一金",https://www.zhipin.com/job_detail/ea23ba038ad26f5b0nRy3tm0FA~~.html,3
闹心信息科技,HTML5,5k-10k,广州,1-3年,大专,"股票期权,节日福利,零食下午茶,五险一金",https://www.zhipin.com/job_detail/96d25369bb4871620nJ829q0Fw~~.html,3
微风尚,HTML5,6k-12k,郑州,3-5年,大专,"节日福利,员工旅游,零食下午茶,股票期权,全勤奖,五险一金",https://www.zhipin.com/job_detail/a3bea3978a7b3fbd1nJy39-6Fg~~.html,3
软微科技,HTML5,6k-10k,青岛,1-3年,大专,"节日福利,年终奖,社保,带薪年假,交通补助,提供住宿",https://www.zhipin.com/job_detail/259d39ec28667e131nF73dq0EFA~.html,3
上海小牛互娱,HTML5工程师,15k-25k,上海,3-5年,本科,"定期体检,五险一金",https://www.zhipin.com/job_detail/52a6039536eea1a11XF829m_FFc~.html,3
千知鱼,HTML5,2k-4k,深圳,1年以内,大专,"年终奖,五险一金,带薪年假,零食下午茶,加班补助",https://www.zhipin.com/job_detail/02dde479223181f91nB80ty9GFs~.html,3
千知鱼,HTML5,2k-4k,深圳,应届生,大专,"年终奖,五险一金,带薪年假,零食下午茶,加班补助",https://www.zhipin.com/job_detail/b8aaf140b43d7fec1Xx_0ty6GVI~.html,3
Yumstone,HTML5,15k-25k,上海,3-5年,本科,"年终奖,带薪年假,零食下午茶,股票期权,生日会,员工旅游,五险一金",https://www.zhipin.com/job_detail/a1e7154f9d48d1e31Xd939i9FlQ~.html,3
首度科技,HTML5,8k-10k,中山,1年以内,大专,"股票期权,五险一金",https://www.zhipin.com/job_detail/bc013ecb2b13c4031Hd-09y0EVI~.html,3
厦门鸿亦,HTML5,5k-8k,厦门,1-3年,大专,"移动互联网,公司氛围好,带薪年假,美女如云,电子商务",https://www.zhipin.com/job_detail/66cbf0627d3333cd1XB539i4FlI~.html,3
云秒科技,HTML5,7k-14k,杭州,经验不限,大专,"智能硬件,移动互联网,股票期权",https://www.zhipin.com/job_detail/e5a01f1ea2b4478c1n180ti5EVU~.html,3
厦门鸿亦,HTML5,5k-8k,厦门,1-3年,大专,"移动互联网,公司氛围好,带薪年假,美女如云,电子商务",https://www.zhipin.com/job_detail/66cbf0627d3333cd1XB539i4FlI~.html?ka=search_list_150_blank&lid=1rJ5jX6g3YD.search,3
ntt data,HTML5 工程师,15k-20k,上海,3-5年,本科,"节日福利,年终奖,餐补,补充医疗保险,五险一金,带薪年假,定期体检,交通补助,员工旅游,加班补助",https://www.zhipin.com/job_detail/d88bc054f4e427981HV63ti4E1Y~.html,3
彧求信息,前端/H5,10k-20k,深圳,5-10年,大专,,https://www.zhipin.com/job_detail/a18febd5cd0309231XR53924FlA~.html,3
诗悦网络,H5主程,15k-25k,广州,3-5年,本科,"节日福利,员工旅游,带薪年假,零食下午茶,定期体检,全勤奖,五险一金,包吃",https://www.zhipin.com/job_detail/f4686b1d5783d9b01HRy3tW6EVQ~.html,3
杭州掌动科技有限公司,H5游戏开发,9k-18k,杭州,1-3年,大专,,https://www.zhipin.com/job_detail/f61a5f3b240599541XZ929-1FlM~.html,3
高博应诺,H5实训师,9k-12k,苏州,3-5年,大专,,https://www.zhipin.com/job_detail/4f8748e1dece60461XN63927FFo~.html,3
